"Hillnumber","Hillname","_Section","Classification","Metres","Feet","Gridref","Gridref10","Colgridref","Colheight","Drop","Feature","Observations","Survey","Revision","Comments","Map","Map25","Xcoord","Ycoord","Latitude","Longitude"
"4539","Beinn Bhreac","19.3","GTC","623","2044","NS162940","","","585","38","","","","08/06/09 00:00:00","","56","363N","216200","694000","56.1033","-4.95689"
"4540","Beinn Tharsuinn","19.3","GTG,Hu","619","2031","NN164016","","NN162013","513","106","","","","08/06/09 00:00:00","","56","363N","216400","701600","56.17156","-4.95892"
"4541","Caisteal Abhail East Top","20.3","GTC","760","2493","NR974443","","NR973443","727","33","","","","08/06/09 00:00:00","","62 69","361N","197400","644300","55.64987","-5.22148"
"4542","A'Chir","20.3","GTC,Hu","745","2444","NR966421","","NR963415","634","111","","","","08/06/09 00:00:00","","62 69","361N","196600","642100","55.6298","-5.23254"
"4543","Ceum na Caillich","20.3","GTC","727","2385","NR976443","","NR976443","677","50","","","","08/06/09 00:00:00","","62 69","361N","197600","644300","55.64995","-5.21831"
"4544","Casteal na h-Iolaire","20.3","GTG","717","2352","NR895422","","NR898423","652","65","","","","08/06/09 00:00:00","","62 69","361N","189500","642200","55.62767","-5.34519"
"4545","Beinn Bhreac","20.3","GTG,Hu","711","2333","NR906442","","NR908431","574","137","","","","08/06/09 00:00:00","","62 69","361N","190600","644200","55.64609","-5.32927"
"4546","Beinn a'Chliabhain","20.3","GTC","675","2215","NR970407","","NR976410","595","80","","","","08/06/09 00:00:00","","62 69","361N","197000","640700","55.61741","-5.22517"
"4547","Suidhe Fhearghas","20.3","GTC","660","2165","NR986451","","NR981447","577","83","","","","08/06/09 00:00:00","","62 69","361N","198600","645100","55.65754","-5.20303"
"4548","Cairnagour Hill","21.1","GTG","743","2438","NJ325056","","","664","79","","","","08/06/09 00:00:00","","37","405W","332500","805600","57.13631","-3.11686"
"4549","Little Geal Charn","21.1","GTC","742","2434","NJ298196","","","693","49","","","","08/06/09 00:00:00","","37","420W","329800","819600","57.26164","-3.16542"
"4550","The Socach","21.1","GTC","719","2359","NJ276143","","","631","88","","","","08/06/09 00:00:00","","37","405W 420W","327600","814300","57.2137","-3.20033"
"4551","Carn Tuairneir","21.1","GTG","693","2274","NJ098232","","","641","52","","","","08/06/09 00:00:00","","36","419S","309800","823200","57.29046","-3.49817"
"4552","Carn na Bruar","21.1","GTG,Hu","683","2241","NJ290255","","NJ294264","581","102","","","","08/06/09 00:00:00","","37","420W","329000","825500","57.3145","-3.18037"
"4553","Mullachdubh","21.1","GTG","681","2234","NJ354057","","","626","55","","","","08/06/09 00:00:00","","37","405W","335400","805700","57.13763","-3.06899"
"4554","Geal Charn","21.1","GTC,Hu","674","2211","NJ283109","","NJ263123","562","112","","","","08/06/09 00:00:00","","37","405W","328300","810900","57.18327","-3.18776"
"4555","Round Hill","21.1","GTC","668","2192","NJ305226","","","633","35","","","","08/06/09 00:00:00","","37","420W","330500","822600","57.28869","-3.15466"
"4556","Moss Hill","21.1","GTC","659","2162","NJ315174","","","577","82","","","","08/06/09 00:00:00","","37","420W","331500","817400","57.24214","-3.13663"
"4557","Carn a'Bhodaich","21.1","GTC","655","2149","NJ260286","","","606","49","","","","08/06/09 00:00:00","","37","420W","326000","828600","57.34187","-3.23109"
"4558","Cairn Vachich","21.1","GTC","651","2136","NJ269115","","","621","30","","","","08/06/09 00:00:00","","37","405W","326900","811500","57.18844","-3.21109"
"4559","Creag an Sgor","21.1","GTG","640","2100","NJ374196","","NJ398204","558","82","","","","08/06/09 00:00:00","","37","420W","337400","819600","57.26275","-3.03945"
"4560","Tom Liath","21.1","GTG","638","2093","NJ331041","","","585","53","","","","08/06/09 00:00:00","","37","405W","333100","804100","57.12293","-3.10655"
"4561","Dubh Breac Hill","21.1","GTC","636","2087","NJ296152","","","598","38","","","","08/06/09 00:00:00","","37","405W 420W","329600","815200","57.22209","-3.16748"
"4562","Creag an Eunan","21.1","GTG","633","2077","NJ386190","","","593","40","","","","08/06/09 00:00:00","","37","420W","338600","819000","57.25752","-3.01941"
"4563","Hill of Three Stones","21.1","GTC","632","2073","NJ349226","","","555","77","","","","08/06/09 00:00:00","","37","420W","334900","822600","57.28934","-3.08168"
"4564","Cairnbrallan","21.1","GTC","619","2031","NJ332245","","","583","36","","","","08/06/09 00:00:00","","37","420W","333200","824500","57.30616","-3.11039"
"4565","Finlate Hill","21.1","GTC","617","2024","NJ292178","","","575","42","","","","08/06/09 00:00:00","","37","420W","329200","817800","57.24538","-3.17485"
"4566","Mulla-Fo-Dheas [Mulla bho Dheas]","24.2","GTC,Hu","743","2438","NB143076","NB 14321 07611","NB148075","605","138","cairn","","obvious summit","20/11/09 00:00:00","","13 14","456","114317","907625","57.96583","-6.83258"
"4567","Mulla-Fo-Thuath [Mulla bho Thuath]","24.2","GTC","720","2362","NB140084","NB 14025 08401","","644","76","small cairn","","obvious summit","08/06/09 00:00:00","","13 14","456","114021","908415","57.97271","-6.83852"
"4568","Teilesval [Teileasbhal]","24.2","GTG,Hu","697","2287","NB125090","NB 12601 09071","NB 12248 08863","560","137","cairn on rock","","","20/11/09 00:00:00","","13 14","456","112597","909085","57.97779","-6.86332"
"4569","Ulabhal","24.2","GTG","659","2162","NB085114","NB 08591 11388","","564","95","cairn","","obvious summit","08/06/09 00:00:00","","13 14","456","108587","911403","57.99592","-6.93373"
"4570","Mullach an Langa","24.2","GTC","614","2014","NB143094","","","575","39","","","","08/06/09 00:00:00","","13 14","456","114300","909400","57.98171","-6.83502"
"4571","Monadh nam Mial","1.1","Hu","604","1982","NN866442","","NN856436","495","109","","","","08/06/09 00:00:00","","52","379W","286600","744200","56.57598","-3.84746"
"4572","Grandtully Hill","1.1","Hu","532","1745","NN911476","","NN879462","397","135","","","","08/06/09 00:00:00","","52","379W","291100","747600","56.60758","-3.77569"
"4573","Creag a'Mhadaidh","1.1","Hu","530","1739","NN916450","","NN902455","425","105","","","","08/06/09 00:00:00","","52","379W","291600","745000","56.58435","-3.76646"
"4574","Dun Mor","1.1","Hu","522","1713","NN901312","","NN906315","406","116","","","","08/06/09 00:00:00","","52","379W","290100","731200","56.46008","-3.78503"
"4575","Craig Lochie","1.1","Hu","520","1706","NN944477","NN 94483 47766","NN919468","393","127","trig point: OS measurement","","","08/06/09 00:00:00","","52 53","379W","294482","747774","56.60991","-3.72069"
"4576","Meall Mor","1.1","Hu","466","1529","NN928394","","NN918412","357","109","","","","08/06/09 00:00:00","","52","379W","292800","739400","56.53434","-3.74461"
"4577","Craig Obney","1.1","Hu","403","1322","NO022382","NO 02218 38216","NO031394","278","125","trig point: OS measurement","","","28/03/10 00:00:00","","52 53","379E","302217","738224","56.52583","-3.59113"
"4578","Hill of Stroness","1.1","Hu","352","1155","NN912261","","NN891265","228","124","","","","08/06/09 00:00:00","","52 58","368E","291200","726100","56.41454","-3.76506"
"4579","Meall a'Choire Odhair","26","Hu","357","1171","NN807139","","NN775164","231","126","","","","08/06/09 00:00:00","","57","368W","280700","713900","56.30246","-3.9296"
"4580","Beinn Ducteach","1.3","Hu","589","1932","NN348154","","NN341150","472","117","","","","08/06/09 00:00:00","","50 56","364N","234800","715400","56.30215","-4.67154"
"4581","Beinn Bhan","1.3","Hu","569","1867","NN395017","NN 39520 01732","NN388022","435","134","grassy knoll","there are several lower knolls to N","","28/03/10 00:00:00","","56","364S","239516","701739","56.18167","-4.58903"
"4582","Cruachan","1.3","Hu","536","1759","NN351076","NN 35132 07673","NN375072","435","101","boulder","5m SWS of cairn","obvious summit","08/06/09 00:00:00","","56","364S","235128","707680","56.23298","-4.66143"
"4583","Gualann","1.3","Hu","461","1512","NS458944","","NS449949","355","106","","","","08/06/09 00:00:00","","57","347 365S","245800","694400","56.11736","-4.48174"
"4584","Craig Leven","1.3","Hu","230","755","NN494069","","NN495072","113","117","","","","08/06/09 00:00:00","","57","365S","249400","706900","56.23071","-4.43098"
"4585","Cruachan Cruinn [Fiarach - S Top]","1.4","Hu","588","1929","NN324233","","NN329243","475","113","","","","08/06/09 00:00:00","","50","364N","232400","723300","56.3722","-4.71531"
"4586","Creag Dhubh","1.4","Hu","491","1611","NN119152","","NN126168","383","108","","","","20/11/09 00:00:00","","50 56","360N","211900","715200","56.29182","-5.04095"
"4587","Bromley Muir","1.5","Hu","304","997","NS368805","NS 36881 80510","NS348823","199","105","trig point: OS measurement","","","08/06/09 00:00:00","","63","347","236877","680516","55.98979","-4.61663"
"4588","Craggan Hill","1.5","Hu","292","958","NS263982","NS 26317 98240","NS272989","170","122","trig point: OS measurement","","","08/06/09 00:00:00","","56","364S","226313","698247","56.14519","-4.79728"
"4589","Cnoc na h-Airighe","1.5","Hu","219","719","NS223901","NS 22300 90197","NS235924","91","128","rock outcrop with trig point bolt","","","08/06/09 00:00:00","","56","347 363N","222296","690204","56.07061","-4.85636"
"4590","Speirean Ruadh","2.1","Hu","492","1614","NN734569","","NN725566","358","134","","","","08/06/09 00:00:00","","42 51 52","386W","273400","756900","56.68662","-4.06841"
"4591","Meall Dearg","3.2","Hu","578","1896","NN025392","","NN023395","467","111","","","","08/06/09 00:00:00","possible twin at NN026390","50","377W","202500","739200","56.50328","-5.21066"
"4592","Creag Dhubh","3.2","Hu","303","994","NN126469","","NN120474","182","121","","","","08/06/09 00:00:00","","50","384","212600","746900","56.57649","-5.05238"
"4593","Barr Mor","3.2","Hu","127","417","NM814388","NM 81501 38860","Sea","0","127","trig point: OS measurement","","","08/06/09 00:00:00","","49","376","181496","738869","56.49103","-5.55096"
"4594","Meall na Lice","4.2","Hu","584","1916","NN380667","NN 38081 66694","NN386668","470","114","cairn","","obvious summit","08/06/09 00:00:00","","41","385W","238078","766703","56.76369","-4.65062"
"4595","Carn na Ceardaich","4.2","Hu","571","1873","NN618880","","NN607876","458","113","","","","08/06/09 00:00:00","","42","393 402","261800","788000","56.9625","-4.27449"
"4596","Meall an Uillt Riabhaich [Meall Liath na Doire Mhoir]","4.2","Hu","507","1663","NN491615","","NN481638","370","137","","","","08/06/09 00:00:00","","42","385E","249100","761500","56.72069","-4.46743"
"4597","Sron Chon","5","Hu","566","1857","NN688666","","NN666666","438","128","","","","08/06/09 00:00:00","","42","386W","268800","766600","56.77243","-4.14841"
"4598","Meall a'Chathaidh","5","Hu","521","1709","NN745679","NN 74535 67918","NN722668","417","104","trig point: OS measurement","","","08/06/09 00:00:00","","42","386W 394W","274533","767927","56.78592","-4.05532"
"4599","Sron na Gaoithe","5","Hu","521","1709","NN754943","","NN741930","395","126","","","","08/06/09 00:00:00","","35","402","275400","794300","57.02292","-4.05411"
"4600","Tulach Hill","5","Hu","470","1542","NN859640","NN 85968 64010","NN846631","335","135","trig point: OS measurement","","","08/06/09 00:00:00","","43","386E","285966","764018","56.75377","-3.86656"
"4601","Cnoc an Daimh","6.2","Hu","514","1686","NO102629","","NO099636","406","108","","","","08/06/09 00:00:00","","43","387S","310200","762900","56.74903","-3.47001"
"4602","Meall Mor","6.2","Hu","512","1680","NN924664","","NN926676","411","101","","","","08/06/09 00:00:00","","43","386E","292400","766400","56.77669","-3.7624"
"4603","Benachally","6.2","Hu","487","1598","NO065491","","NO055517","370","117","","","","28/03/10 00:00:00","","52 53","379E","306500","749100","56.62437","-3.52546"
"4604","Eskielawn","7","Hu","607","1991","NO273664","","NO284659","485","122","","","","08/06/09 00:00:00","","44","388S","327300","766400","56.78345","-3.19146"
"4605","Meall Gorm","7","Hu","553","1814","NO299889","","NO296883","446","107","","","","08/06/09 00:00:00","","44","388N","329900","788900","56.98593","-3.15514"
"4606","Sgor an h-Iolaire","7","Hu","544","1785","NO302933","","NO291925","407","137","","","","08/06/09 00:00:00","","37 44","388N","330200","793300","57.0255","-3.15143"
"4607","Creag Choinnich","7","Hu","538","1765","NO160918","","NO163916","411","127","","","","08/06/09 00:00:00","","43","387N 404S","316000","791800","57.00966","-3.38477"
"4608","Hill of Couternach","7","Hu","512","1680","NO356659","","NO343684","389","123","","","","08/06/09 00:00:00","","44","388S","335600","765900","56.78018","-3.05553"
"4609","Clune Hill","7","Hu","319","1047","NO355569","","NO343570","209","110","","","","08/06/09 00:00:00","","54","381","335500","756900","56.69933","-3.05489"
"4610","Hill of Alyth","7","Hu","300","984","NO237504","","NO223515","199","101","","","","08/06/09 00:00:00","","53","381","323700","750400","56.63917","-3.24561"
"4611","Craig Hill [Auld Darkney]","7","Hu","545","1788","NO422665","","NO422672","413","132","","","","08/06/09 00:00:00","","44","389","342200","766500","56.78644","-2.94767"
"4612","Carnferg","7","Hu","525","1722","NO522933","NO 52224 93346","NO512927","407","118","trig point: OS measurement","","","08/06/09 00:00:00","","37 44","395","352224","793355","57.0288","-2.78869"
"4613","Meluncart","7","Hu","525","1722","NO630820","","NO634810","419","106","","","","08/06/09 00:00:00","","45","396","363000","782000","56.9278","-2.60951"
"4614","Pinderachy","7","Hu","514","1686","NO458652","","NO458670","406","108","","","","08/06/09 00:00:00","","44","389","345800","765200","56.7752","-2.88848"
"4615","Mount Shade","7","Hu","507","1663","NO626870","","NO621870","384","123","","","","08/06/09 00:00:00","","45","396","362600","787000","56.97268","-2.61683"
"4616","Goyle Hill","7","Hu","464","1522","NO683819","NO 68392 81977","NO664818","353","111","trig point: OS measurement","","","28/03/10 00:00:00","","45","396","368393","781986","56.92807","-2.52091"
"4617","Monluth Hill","7","Hu","377","1237","NO733878","","NO722870","264","113","","","","08/06/09 00:00:00","","45","396","373300","787800","56.98061","-2.44091"
"4618","Tullo Hill","7","Hu","316","1037","NO498645","","NO477643","197","119","","","","08/06/09 00:00:00","","44","389","349800","764500","56.76936","-2.8229"
"4619","White Caterthun","7","Hu","300","984","NO547660","","NO537657","197","103","","","","08/06/09 00:00:00","","44","389","354700","766000","56.78334","-2.74301"
"4620","Carmont Hill","7","Hu","236","774","NO806835","","NO791819","104","132","","","","08/06/09 00:00:00","","45","396","380600","783500","56.94235","-2.32048"
"4621","Creag Ghiuthsachan","8","Hu","603","1978","NN860999","","NN860995","503","100","","","","08/06/09 00:00:00","","35 36 43","403S","286000","799900","57.07594","-3.88215"
"4622","Creag Phitiulais","8","Hu","447","1467","NH929132","","NH944113","313","134","","","","08/06/09 00:00:00","","36","403N","292900","813200","57.19702","-3.7741"
"4623","Kennapole Hill","8","Hu","382","1253","NH885070","","NH886058","280","102","","","","28/03/10 00:00:00","","35 36","403N 403S","288500","807000","57.1403","-3.84411"
"4624","Carn Meadhonach","8","Hu","588","1929","NJ139174","","NJ142149","470","118","","","","08/06/09 00:00:00","","36","404N","313900","817400","57.23916","-3.42816"
"4625","Carn a'Chnuic","8","Hu","506","1660","NJ039144","","NJ048145","386","120","","","","08/06/09 00:00:00","","36","403N 404N","303900","814400","57.21023","-3.59261"
"4626","Larig Hill","9.1","Hu","545","1788","NJ086402","","NJ063391","441","104","","","","08/06/09 00:00:00","","27","419N","308600","840200","57.44287","-3.52439"
"4627","Creag Liath","9.1","Hu","450","1476","NJ006312","","NH996316","335","115","","","","08/06/09 00:00:00","","27 36","418 419S","300600","831200","57.36038","-3.65397"
"4628","Tom na Slaite","9.1","Hu","426","1398","NH823342","","NH817343","307","119","","","","08/06/09 00:00:00","","27","418","282300","834200","57.38295","-3.95942"
"4629","Carn Biorach","9.1","Hu","418","1371","NJ018390","NJ 01890 39040","NJ028380","318","100","boundary stone near meeting of fences","","","08/06/09 00:00:00","","27","418 419N","301889","839050","57.43114","-3.63569"
"4630","Carn Sgumain","9.1","Hu","417","1368","NH877409","","NH868425","307","110","","","","08/06/09 00:00:00","","27","418 422","287700","840900","57.44446","-3.87272"
"4631","Carn na Cailliche","9.1","Hu","404","1325","NJ187474","NJ 18789 47466","NJ141466","268","136","trig point: OS measurement","","","08/06/09 00:00:00","","28","419N","318789","847476","57.51015","-3.35712"
"4632","Mill Buie","9.1","Hu","371","1217","NJ090501","NJ 09036 50093","NJ070481","267","104","trig point: OS measurement","","","08/06/09 00:00:00","","27","419N","309035","850103","57.53188","-3.52084"
"4633","Lethen Bar","9.1","Hu","258","846","NH955494","NH 95590 49454","NH953480","143","115","trig point: OS measurement","","","08/06/09 00:00:00","","27","422","295589","849464","57.52324","-3.74502"
"4634","Beinn Ghuilbin","9.2","Hu","578","1896","NH895177","","NH889171","474","104","","","","08/06/09 00:00:00","","35 36","403N","289500","817700","57.23661","-3.83234"
"4635","Binnein Mor","9.2","Hu","550","1804","NN648967","","NN656970","425","125","","","","08/06/09 00:00:00","","35","402","264800","796700","57.04148","-4.22986"
"4636","An Suidhe","9.2","Hu","541","1775","NH813070","","NH801074","416","125","","","","08/06/09 00:00:00","","35","402","281300","807000","57.1385","-3.963"
"4637","Carn Choire Riabhaich","9.2","Hu","541","1775","NH541169","NH 54127 16987","NH545162","407","134","trig point: OS measurement","","","28/03/10 00:00:00","","35","416S","254125","816997","57.22039","-4.41748"
"4638","Beinn Mheadhoin","9.2","Hu","540","1772","NH489115","","NH488110","414","126","","","","08/06/09 00:00:00","","34","416S","248900","811500","57.16937","-4.50058"
"4639","Mullach a'Ghlinne","9.2","Hu","529","1736","NH359011","","NH370005","426","103","","","","08/06/09 00:00:00","Alternative summit 529m at NH363010","34","400","235900","801100","57.07158","-4.70848"
"4640","Creag nan Gobhar","9.2","Hu","495","1624","NN315985","","NN320982","381","114","","","","08/06/09 00:00:00","","34","400","231500","798500","57.04666","-4.77922"
"4641","Beinn a'Bhathaich","9.2","Hu","456","1496","NH571287","","NH580291","352","104","","","","08/06/09 00:00:00","","26 35","417","257100","828700","57.32637","-4.37501"
"4642","Creag an Fhithich","9.1","Hu","405","1329","NH937214","NH 93788 21394","NH910202","276","129","trig point: OS measurement","","","28/03/10 00:00:00","","36","403N","293787","821404","57.27088","-3.76294"
"4643","Creag a'Chlachain","9.2","Hu","365","1198","NH652333","NH 65289 33334","NH664362","235","130","trig point: OS measurement","","","08/06/09 00:00:00","","26","416N","265287","833344","57.37054","-4.2417"
"4644","Torr Alvie","9.2","Hu","358","1175","NH877088","","NH855078","235","123","","","","08/06/09 00:00:00","","35 36","403N","287700","808800","57.15627","-3.85813"
"4645","Creag Innis an Daimh Dhuibh","9.2","Hu","330","1083","NH580262","","NH583245","224","106","","","","20/11/09 00:00:00","","26 35","417","258000","826200","57.30421","-4.35864"
"4646","Meall a'Cholumain","9.2","Hu","317","1040","NH360048","","NH358036","217","100","","","","08/06/09 00:00:00","","34","400","236000","804800","57.10482","-4.70926"
"4647","Carn Dearg","9.2","Hu","298","978","NH481185","","NH480163","184","114","","","","08/06/09 00:00:00","","34","416S","248100","818500","57.23192","-4.51807"
"4648","Creag Nighean Iain Duinn [Foyers Hill]","9.2","Hu","248","814","NH505208","","NH506205","142","106","","","","08/06/09 00:00:00","","26 35","416S","250500","820800","57.25335","-4.47974"
"4649","Druim na h-Achlaise","10.1","Hu","540","1772","NH134033","NH 13470 03384","NH112038","436","104","trig point: OS measurement","","","28/03/10 00:00:00","","34","399 414S","213467","803394","57.08362","-5.07965"
"4650","Sgurr a'Bhraonain","10.1","Hu","502","1647","NG905189","","NG908188","376","126","","","","08/06/09 00:00:00","","33","413N","190500","818900","57.21278","-5.4709"
"4651","Na Cruachan","10.2","Hu","583","1913","NG770071","NG 77071 07156","NG776067","467","116","trig point: OS measurement","","","08/06/09 00:00:00","","33","413S","177067","807167","57.10126","-5.68236"
"4652","Beinn Bheag","10.2","Hu","339","1112","NH078006","","NH061000","212","127","","","","08/06/09 00:00:00","","33","399 414S","207800","800600","57.05623","-5.17087"
"4653","Meall nan Ruadhag","10.3","Hu","446","1463","NN260989","","NN245986","337","109","","","","20/11/09 00:00:00","","34","400","226000","798900","57.04821","-4.87003"
"4654","Beinn Bhreac","10.3","Hu","441","1447","NN245990","","NN252990","338","103","","","","08/06/09 00:00:00","","34","400","224500","799000","57.04854","-4.8948"
"4655","Creag an-t Saighdeir [Torr a'Mhuilt]","10.3","Hu","175","574","NN181885","","NN179887","58","117","","","","08/06/09 00:00:00","","34 41","399 400","218100","788500","56.95186","-4.99256"
"4656","Leac na Carnaich","10.4","Hu","569","1867","NM980892","","NM971887","438","131","","","","08/06/09 00:00:00","","40","398E 399","198000","789200","56.9498","-5.32302"
"4657","Sgurr a'Mhuidhe","10.4","Hu","562","1844","NM860823","","NM852828","454","108","","","","08/06/09 00:00:00","","40","398E","186000","782300","56.88254","-5.51409"
"4658","Cruach Mhalaig","10.4","Hu","203","666","NM692973","","NM696967","103","100","","","","08/06/09 00:00:00","","40","398W","169200","797300","57.00894","-5.80286"
"4659","Arisaig Hill","10.4","Hu","121","397","NM673903","","NM683905","15","106","","","","08/06/09 00:00:00","","40","398W","167300","790300","56.94524","-5.82762"
"4660","Carn Loch nan Eun","11.1","Hu","593","1946","NG950272","","NG955248","488","105","","","","08/06/09 00:00:00","","25 33","413N 414N","195000","827200","57.28924","-5.4034"
"4661","Sgurr an t-Searraich","11.1","Hu","576","1890","NG950191","","NG954188","449","127","","","","08/06/09 00:00:00","","33","413N 414N","195000","819100","57.21661","-5.3967"
"4662","Carn Mor","11.2","Hu","509","1670","NH414193","","NH405194","408","101","","","","08/06/09 00:00:00","","34","416S","241400","819300","57.23683","-4.62944"
"4663","Beinn nan Sparra","11.2","Hu","447","1467","NH253245","","NH245238","335","112","","","","08/06/09 00:00:00","","25","415","225300","824500","57.27761","-4.8995"
"4664","Creag nan Eun","11.2","Hu","418","1371","NH437176","","NH428185","302","116","","","","08/06/09 00:00:00","","34","416S","243700","817600","57.22236","-4.59031"
"4665","Carn na Cre","12.1","Hu","568","1864","NH284480","","NH268482","428","140","","","","08/06/09 00:00:00","Potential SubMarilyn, uncertainty in col height","25","430","228400","848000","57.48962","-4.86456"
"4666","Carn Mor","12.1","Hu","515","1690","NG989446","","NG999452","385","130","","","","08/06/09 00:00:00","","25","429","198900","844600","57.447","-5.35303"
"4667","Carn na Cre","12.1","Hu","461","1512","NH306590","","NH309584","345","116","","","","08/06/09 00:00:00","","26","436S","230600","859000","57.58913","-4.83556"
"4668","Meall Ruadh","12.1","Hu","454","1490","NG977368","","NG974373","334","120","","","","08/06/09 00:00:00","","25","429","197700","836800","57.37653","-5.36656"
"4669","Meall an Fhliuchaird","12.1","Hu","405","1329","NH067495","","NH073489","294","111","","","","08/06/09 00:00:00","","25","429","206700","849500","57.49434","-5.22716"
"4670","Cul Mor","12.1","Hu","393","1289","NH450514","","NH438498","287","106","","","","08/06/09 00:00:00","","26","431","245000","851400","57.52611","-4.59011"
"4671","Cnoc na h-Iolaire","12.1","Hu","354","1161","NH388608","NH 38902 60862","NH392597","238","116","cairn","","","08/06/09 00:00:00","","20","437S","238900","860873","57.60829","-4.69976"
"4672","Meall Ailein","12.1","Hu","322","1056","NG876315","","NG886317","196","126","","","","08/06/09 00:00:00","","24","428S","187600","831500","57.32441","-5.52963"
"4673","Creag Mhaol","12.1","Hu","200","656","NG852343","","NG862341","85","115","","","","08/06/09 00:00:00","","24","428S","185200","834300","57.34839","-5.57185"
"4674","Avernish Hill","12.1","Hu","128","420","NG841268","","NG848272","15","113","","","","08/06/09 00:00:00","","33","413N","184100","826800","57.28063","-5.58353"
"4675","Fireach Ard","12.1","Hu","116","381","NG860267","","NG867273","11","105","","","","08/06/09 00:00:00","","33","413N","186000","826700","57.28063","-5.55199"
"4676","Carn na Sean-luibe","12.2","Hu","582","1909","NH024352","","NH035343","467","115","","","","28/03/10 00:00:00","Alternative summit 582m at NH026353","25","429","202400","835200","57.36424","-5.28725"
"4677","Meall nan Caorach","12.2","Hu","426","1398","NH472350","","NH462348","306","120","","","","08/06/09 00:00:00","","26","431","247200","835000","57.37969","-4.54317"
"4678","An Leacainn","12.2","Hu","414","1358","NH577410","NH 57704 41049","NH566398","304","110","trig point: OS measurement","","","08/06/09 00:00:00","","26","416N","257702","841060","57.43749","-4.37218"
"4679","Meall Mor","12.2","Hu","407","1335","NH463373","","NH455372","297","110","","","","08/06/09 00:00:00","","26","431","246300","837300","57.40003","-4.55956"
"4680","Carn na Gearraig","12.2","Hu","403","1322","NH412376","","NH415363","278","125","","","","08/06/09 00:00:00","","26","431","241200","837600","57.40097","-4.64453"
"4681","Meall Fuaraidh","13.1","Hu","369","1211","NG832758","","NG837761","266","103","","","","08/06/09 00:00:00","","19","433 434","183200","875800","57.71947","-5.64198"
"4682","Meall Aundrary","13.1","Hu","327","1073","NG846728","","NG844733","218","109","","","","08/06/09 00:00:00","","19","433 434","184600","872800","57.69325","-5.61584"
"4683","Mullach nan Cadhaichean","13.1","Hu","293","961","NG827695","","NG830692","167","126","","","","08/06/09 00:00:00","","19 24","433","182700","869500","57.66275","-5.64467"
"4684","Meall Deise","13.1","Hu","252","827","NG825791","","NG830781","145","107","","","","08/06/09 00:00:00","Alternative summit 252m at NG823790","19","434","182500","879100","57.74871","-5.6567"
"4685","Cliff Hill [Meall a'Cliuth]","13.1","Hu","229","751","NG850800","NG 85019 80013","NG839790","125","104","trig point: OS measurement","","","08/06/09 00:00:00","","19","434","185016","880026","57.75822","-5.61534"
"4686","Meall na h-Araid","13.1","Hu","144","472","NG789588","","NG793588","24","120","","","","08/06/09 00:00:00","","24","428N 433","178900","858800","57.56499","-5.69846"
"4687","Meall na Fhuaid","13.2","Hu","518","1699","NG738502","","NG735497","398","120","","","","08/06/09 00:00:00","","24","428N","173800","850200","57.48539","-5.77553"
"4688","An Liathanach","13.2","Hu","508","1667","NH124568","NH 12403 56819","NH110562","386","122","small rock surrounded by 3 stones","","obvious summit","08/06/09 00:00:00","","25","430","212400","856831","57.56221","-5.13784"
"4689","Croic-bheinn","13.2","Hu","494","1621","NG762518","","NG768511","371","123","","","","08/06/09 00:00:00","","24","428N","176200","851800","57.50092","-5.73706"
"4690","Meall a'Chois","13.2","Hu","114","374","NG699340","NG 69907 34035","Sea","0","114","trig point: OS measurement","","","28/03/10 00:00:00","","24 32","428S","169903","834047","57.33866","-5.82524"
"4691","Carn nam Feithean","14.1","Hu","557","1827","NH113788","","NH111768","439","118","","","","08/06/09 00:00:00","","19","435N 435S","211300","878800","57.75906","-5.17339"
"4692","Meall a'Chairn","14.1","Hu","510","1673","NH151858","","NH161849","404","106","","","","08/06/09 00:00:00","","20","436N","215100","885800","57.82342","-5.11504"
"4693","Carn a'Bhiorain","14.1","Hu","508","1667","NH140836","","NH141825","392","116","","","","28/03/10 00:00:00","","19 20","436N","214000","883600","57.80323","-5.13182"
"4694","Carn a'Bhreabadair","14.1","Hu","480","1575","NH112835","","NH112823","376","104","","","","08/06/09 00:00:00","","19","435N","211200","883500","57.80116","-5.17878"
"4695","Stob Loch an Eich Dhuibh","14.1","Hu","334","1096","NH018853","","NH028849","234","100","","","","08/06/09 00:00:00","","19","435N","201800","885300","57.81324","-5.33815"
"4696","Beinn Dearg Bad Chailleach","14.1","Hu","273","896","NG912876","NG 91283 87670","NG913864","157","116","trig point: OS measurement","","","08/06/09 00:00:00","","19","434","191280","887683","57.82983","-5.51696"
"4697","Beinn Dearg Mhor","14.1","Hu","159","522","NG861927","","NG891896","58","101","","","","08/06/09 00:00:00","","19","434","186100","892700","57.87235","-5.60851"
"4698","Meall nam Meallan","14.1","Hu","147","482","NG892948","","NG861941","47","100","","","","08/06/09 00:00:00","","19","434","189200","894800","57.89265","-5.55821"
"4699","Torr Mor","14.1","Hu","134","440","NG956913","","NG960910","34","100","","","","08/06/09 00:00:00","","19","435N","195600","891300","57.86425","-5.44745"
"4700","An Eilid","14.1","Hu","104","341","NG944940","","Sea","0","104","","","","08/06/09 00:00:00","","19","435N","194400","894000","57.88791","-5.46998"
"4701","Carn a'Ghlinne","14.2","Hu","539","1768","NH067608","NH 06768 60853","NH108613","407","132","trig point: OS measurement","","","08/06/09 00:00:00","","19","435S","206765","860865","57.59629","-5.23511"
